upload,uploads,uploading,uploaded
convolute,convolutes,convoluting,convoluted
fawn,fawns,fawning,fawned
foul,fouls,fouling,fouled
escribe,escribes,escribing,escribed
prefix,prefixes,prefixing,prefixed
forgather,forgathers,forgathering,forgathered
preface,prefaces,prefacing,prefaced
renegue,renegues,reneguing,renegued
underachieve,underachieves,underachieving,underachieved
shamble,shambles,shambling,shambled
conjure,conjures,conjuring,conjured
regularize,regularizes,regularizing,regularized
ruck,rucks,rucking,rucked
rupture,ruptures,rupturing,ruptured
rouse,rouses,rousing,roused
scold,scolds,scolding,scolded
quadruple,quadruples,quadrupling,quadrupled
outwit,outwits,outwitting,outwitted
tingle,tingles,tingling,tingled
sputter,sputters,sputtering,sputtered
angulate,angulates,angulating,angulated
antecede,antecedes,anteceding,anteceded
swivel,swivels,swiveling,swiveled
bellyache,bellyaches,bellyaching,bellyached
jemmy,jemmies,jemmying,jemmied
stipulate,stipulates,stipulating,stipulated
befoul,befouls,befouling,befouled
yellow,yellows,yellowing,yellowed
detrude,detrudes,detruding,detruded
unify,unifies,unifying,unified
semaphore,semaphores,semaphoring,semaphored
disturb,disturbs,disturbing,disturbed
prize,prizes,prizing,prized
buttonhole,buttonholes,buttonholing,buttonholed
understock,understocks,understocking,understocked
disburden,disburdens,disburdening,disburdened
fritter,fritters,frittering,frittered
orientate,orientates,orientating,orientated
charter,charters,chartering,chartered
tolerate,tolerates,tolerating,tolerated
pulse,pulses,pulsing,pulsed
second,seconds,seconding,seconded
tether,tethers,tethering,tethered
hoick,hoicks,hoicking,hoicked
blouse,blouses,blousing,bloused
intermingle,intermingles,intermingling,intermingled
thunder,thunders,thundering,thundered
boogie,boogies,boogieing,boogied
decry,decries,decrying,decried
succumb,succumbs,succumbing,succumbed
cull,culls,culling,culled
crouch,crouches,crouching,crouched
avert,averts,averting,averted
dogear,dogears,dogearing,dogeared
splinter,splinters,splintering,splintered
herd,herds,herding,herded
chine,chines,chining,chined
freezedry,freezedries,freezedrying,freezedried
shriek,shrieks,shrieking,shrieked
chink,chinks,chinking,chinked
deodorize,deodorizes,deodorizing,deodorized
